0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:10 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12911
0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:12 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:13 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7546
0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:13 +0530] "GET /project_3/css/main.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:15 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:15 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12911
0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:15 +0530] "GET /project_3/css/main.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [12/Jan/2021:12:05:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
